400 ERBBE NE,ALBUQUERQUE,NM,,,1
10516 TAURUS CT NW,ALBUQUERQUE,NM,,,2
9316 SILICA AV NW,ALBUQUERQUE,NM,,,3
3118 DAKOTA ST NE,ALBUQUERQUE,NM,,,4
1324 APODACA ST SW,ALBUQUERQUE,NM,,,5
2420 NATIVE FLOWER PL SW,ALBUQUERQUE,NM,,,6
2929 PENNSYLVANIA ST NE,ALBUQUERQUE,NM,,,7
415 DORADO CT SE,ALBUQUERQUE,NM,,,8
9827 RANCHO WEST PL SW,ALBUQUERQUE,NM,,,9
2201 MARIE PL NW,ALBUQUERQUE,NM,,,10
3422 MORNINGSIDE DR NE,ALBUQUERQUE,NM,,,11
1395 WAGON TRAIN DR SE,ALBUQUERQUE,NM,,,12
126 CALLE OLAS ALTOS NE,ALBUQUERQUE,NM,,,13
10201 ANDALUSIAN AVE SW,ALBUQUERQUE,NM,,,14
6109 CANIS AVE NW,ALBUQUERQUE,NM,,,15
12941 MARVA PL SE,ALBUQUERQUE,NM,,,16
2336 OAKHAM DR NW,ALBUQUERQUE,NM,,,17
10709 CHACO TERRACE ST NW,ALBUQUERQUE,NM,,,18
157 SUNSET LP SW,ALBUQUERQUE,NM,,,19
10614 LEXINGTON AVE NE,ALBUQUERQUE,NM,,,20
6309 BAKER AVE NE,ALBUQUERQUE,NM,,,21
1849 LESTER DR NE,ALBUQUERQUE,NM,,,22
7212 LUNA AZUL AVE SW,ALBUQUERQUE,NM,,,23
1124 CASA TOMAS RD NE,ALBUQUERQUE,NM,,,24
8205 CRIMSON AVE NW,ALBUQUERQUE,NM,,,25
6757 KELLY ANN RD NE,ALBUQUERQUE,NM,,,26
1419 GRIEGOS RD NW,ALBUQUERQUE,NM,,,27
5908 BURGOS AVE NW,ALBUQUERQUE,NM,,,28
1601 PENNSYLVANIA ST NE I-10,ALBUQUERQUE,NM,,,29
6415 DONIA AVE NW,ALBUQUERQUE,NM,,,30
11409 APPIAN WAY NE,ALBUQUERQUE,NM,,,31
4515 5TH ST NW,ALBUQUERQUE,NM,,,32
5504 EUCLID AV NE,ALBUQUERQUE,NM,,,33
720 MESA DEL RIO ST NW,ALBUQUERQUE,NM,,,34
9124 BLUE MEADOW TRL SW,ALBUQUERQUE,NM,,,35
412 CACTUS POINT DR SW,ALBUQUERQUE,NM,,,36
1427 DONA ARCELIA ST SW,ALBUQUERQUE,NM,,,37
5100 GAVIOTA NW,ALBUQUERQUE,NM,,,38
4737 GALLETA,ALBUQUERQUE,NM,,,39
1105 GARCIA ST NE,ALBUQUERQUE,NM,,,40
505 HIGH ST SE,ALBUQUERQUE,NM,,,41
10605 MENAUL BLVD NE,ALBUQUERQUE,NM,,,42
5326 STILL BROOKE AV NW,ALBUQUERQUE,NM,,,43
5213 CAMINO DEL SOL NE A,ALBUQUERQUE,NM,,,44
6104 COSTA BLANCA AV NW,ALBUQUERQUE,NM,,,1
6420 DORADO BEACH NE,ALBUQUERQUE,NM,,,2
6921 WHITE PINE PL NE,ALBUQUERQUE,NM,,,3
12415 APPALACHIAN WY NE,ALBUQUERQUE,NM,,,4
10424 KAREN AV NE,ALBUQUERQUE,NM,,,5
907 WILLIAM ST SE,ALBUQUERQUE,NM,,,6
8101 MERISSA LA NE,ALBUQUERQUE,NM,,,7
623 TANAGER DR SW,ALBUQUERQUE,NM,,,8
4106 LOGAN RD NW,ALBUQUERQUE,NM,,,9
9000 ALVERA AVE SW,ALBUQUERQUE,NM,,,10
727 HALTER DR SW,ALBUQUERQUE,NM,,,11
6601 LAMY ST NW,ALBUQUERQUE,NM,,,12
415 PENNSYLVANIA ST SE,ALBUQUERQUE,NM,,,13
10728 PINON PARK CT NW,ALBUQUERQUE,NM,,,14
10405 SAVOY DR NW,ALBUQUERQUE,NM,,,15
11107 MORRIS PL NE,ALBUQUERQUE,NM,,,16
6104 PARK SOUTH PL NW,ALBUQUERQUE,NM,,,17
9035 BLUE MEADOW TRL SW,ALBUQUERQUE,NM,,,18
2628 GEORGIA ST NE,ALBUQUERQUE,NM,,,19
3409 LAFAYETTE DR NE,ALBUQUERQUE,NM,,,20
6041 SEQUOIA RD NW UNIT C8,ALBUQUERQUE,NM,,,21
6047 PARK SOUTH PL NW,ALBUQUERQUE,NM,,,22
2000 KING CT NE,ALBUQUERQUE,NM,,,23
4410 11TH ST NW,ALBUQUERQUE,NM,,,24
3809 5TH ST NW,ALBUQUERQUE,NM,,,25
11116 STARLING RD SW,ALBUQUERQUE,NM,,,26
1112 DEL MONTE TRL SW,ALBUQUERQUE,NM,,,27
4646 WEST GLEN DR SW,ALBUQUERQUE,NM,,,28
353 60TH ST NW,ALBUQUERQUE,NM,,,29
1331 AMOLE DR SW,ALBUQUERQUE,NM,,,30
1324 BOATRIGHT DR NE,ALBUQUERQUE,NM,,,31
6336 CUESTA PL NW,ALBUQUERQUE,NM,,,32
804 WAGON TRAIN DR SE,ALBUQUERQUE,NM,,,33
305 CAGUA DR NE,ALBUQUERQUE,NM,,,34
533 KENTUCKY ST SE,ALBUQUERQUE,NM,,,35
9720 WESTBOUND AVE SW,ALBUQUERQUE,NM,,,36
2945 MONROE ST NE,ALBUQUERQUE,NM,,,37
8801 SUNBOW AVE SW,ALBUQUERQUE,NM,,,38
9035 BLUE MEADOW TRL SW,ALBUQUERQUE,NM,,,39
4801 IRVING BLVD NW #4203,ALBUQUERQUE,NM,,,40
11424 LOVE AVE NE,ALBUQUERQUE,NM,,,41
5716 STRAND LP SE,ALBUQUERQUE,NM,,,42
300 ERBBE ST NE,ALBUQUERQUE,NM,,,43
7936 BELL AVE SE,ALBUQUERQUE,NM,,,44
329 53RD ST NW,ALBUQUERQUE,NM,,,45
423 GENE AVE NW,ALBUQUERQUE,NM,,,46
8701 GUTIERREZ RD NE,ALBUQUERQUE,NM,,,47
2839 BUTCH CASSIDY DR SW,ALBUQUERQUE,NM,,,48
7500 KRISTA DR NE,ALBUQUERQUE,NM,,,49
10013 MICHELLE LOOP LANE NE,ALBUQUERQUE,NM,,,50
2334 VALENCIA DR NE,ALBUQUERQUE,NM,,,51
10039 ATRISCO RANCH RD SW,ALBUQUERQUE,NM,,,52
10523 BILBOA ST NW,ALBUQUERQUE,NM,,,53
304 BETHEL DR SE,ALBUQUERQUE,NM,,,54
1816 VALTIERRA PL SW,ALBUQUERQUE,NM,,,55
10516 BLANCO DR NW,ALBUQUERQUE,NM,,,56
8705 STONY CREEK RD SW,ALBUQUERQUE,NM,,,57
6413 AVENIDA LA COSTA NE,ALBUQUERQUE,NM,,,58
528 CARDENAS DR SE,ALBUQUERQUE,NM,,,59
3301 GRASSY CT SW,ALBUQUERQUE,NM,,,60
10516 LOVE AV NE,ALBUQUERQUE,NM,,,61
10604 SNOW HEIGHTS BLVD NE,ALBUQUERQUE,NM,,,62
6205 SUNSET GARDEN RD SW,ALBUQUERQUE,NM,,,63
639 VERMILION CT NW,ALBUQUERQUE,NM,,,64
2439 WEXFORD ST NW,ALBUQUERQUE,NM,,,65
708 ANDERSON AVE SE,ALBUQUERQUE,NM,,,66
1400 DEL REY PL SW,ALBUQUERQUE,NM,,,67
1409 DONA LUISA ST SW,ALBUQUERQUE,NM,,,68
1118 FACIO CT SW,ALBUQUERQUE,NM,,,69
104 WESTCOURT PL NW,ALBUQUERQUE,NM,,,70
2301 POMELO PL NW,ALBUQUERQUE,NM,,,71
7501 RAINWATER RD SW,ALBUQUERQUE,NM,,,72
10451 TOLEDO ST NW,ALBUQUERQUE,NM,,,73
602 CLAREMONT AV NW,ALBUQUERQUE,NM,,,74
9205 LAYTON AV NE,ALBUQUERQUE,NM,,,75
3010 MONTCLAIRE DR NE,ALBUQUERQUE,NM,,,76
10414 DEL HAVEN ST SW,ALBUQUERQUE,NM,,,77
10932 HANALEI AV NE,ALBUQUERQUE,NM,,,78
10123 HIGH RANGE RD SW,ALBUQUERQUE,NM,,,79
10309 CATALINA CT SW,ALBUQUERQUE,NM,,,80
7200 CONSTITUTION AV NE,ALBUQUERQUE,NM,,,81
1408 DAKOTA ST NE,ALBUQUERQUE,NM,,,82
4216 DELAMAR AV NE,ALBUQUERQUE,NM,,,83
4612 NORMA DR NE,ALBUQUERQUE,NM,,,84
6317 ZIMMERMAN AV NE,ALBUQUERQUE,NM,,,85
1600 ROSEWOOD AV NW,ALBUQUERQUE,NM,,,86
904 3RD ST SW,ALBUQUERQUE,NM,,,87
9419 UPPER MEADOW AV SW,ALBUQUERQUE,NM,,,88
916 PALOMAS DR NE,ALBUQUERQUE,NM,,,89
7536 ASTER RD SW,ALBUQUERQUE,NM,,,90
10211 JENERO ST SW,ALBUQUERQUE,NM,,,91
4605 NORMA DR NE,ALBUQUERQUE,NM,,,92
2956 PAYTON TRL SW,ALBUQUERQUE,NM,,,93
1608 SECRET VALLEY DR SW,ALBUQUERQUE,NM,,,94
439 POINSETTA PL SE,ALBUQUERQUE,NM,,,95
7408 RAINWATER RD SW,ALBUQUERQUE,NM,,,96
439 POINSETTA PL SE,ALBUQUERQUE,NM,,,97
7408 RAINWATER RD SW,ALBUQUERQUE,NM,,,98
6027 REDLANDS NW,ALBUQUERQUE,NM,,,99
1005 FIELD DR NE,ALBUQUERQUE,NM,,,100
5200 OLD ADOBE TRL NW,ALBUQUERQUE,NM,,,101
1728 DEL CIELO DR NW,ALBUQUERQUE,NM,,,102
3310 MACKLAND AV NE,ALBUQUERQUE,NM,,,103
505 ALIYAH LA NW,ALBUQUERQUE,NM,,,104
925 LOUISIANA BLVD SE,ALBUQUERQUE,NM,,,105
9912 ATRISCO RANCH RD SW,ALBUQUERQUE,NM,,,106
